Words,Links,Code,ResponseTime,Type
215,True,True,78,1
22,True,False,7,1
5,False,True,46,1
37,True,True,300925,1
169,False,True,16,1
6,True,False,1,1
87,False,False,146136,1
5,False,True,6,1
12,False,True,33,1
97,False,False,488180,1
4,False,True,633,1
16,True,True,331624,1
205,True,True,11,1
11,False,True,8,1
25,False,True,1823341,1
5,False,False,4,1
26,False,True,625,1
102,False,True,703475,1
346,False,True,13612,1
13,False,True,47,1
116,False,True,119,1
200,True,True,218,1
66,False,True,286873,1
63,False,False,692,1
12,False,False,821569,1
97,True,False,558202,1
121,False,False,62,1
324,False,False,12,1
53,True,True,2,1
11,True,False,2403,1
90,True,False,844342,1
40,False,True,3,1
63,False,True,16,1
17,False,True,1,1
16,False,True,1,1
0,False,True,51604,1
17,True,True,456291,1
0,False,True,545687,1
88,False,True,168,1
19,True,False,5,1
198,True,True,169574,1
37,False,True,27779,1
72,False,False,6,1
25,False,True,4,1
194,True,False,11,1
287,False,True,242,1
8,True,True,258507,1
122,False,True,65,1
35,False,False,419078,1
46,False,False,1,1
20,False,True,419402,1
234,True,False,249,1
18,False,True,3,1
12,False,True,755706,1
43,True,True,2,1
6,False,True,1,1
120,True,True,2045211,1
65,False,True,22,1
47,False,False,502272,1
19,False,True,100,1
32,True,True,1479216,1
213,True,True,684484,1
41,False,True,1127440,1
7,False,True,42,1
12,False,False,357,1
137,False,True,209079,1
44,True,True,3,1
32,False,True,4,1
23,True,True,9,1
17,False,True,15,1
9,True,False,82,1
211,False,True,7,1
72,False,True,117,1
75,True,False,632533,1
6,False,True,7,1
95,True,True,727330,1
337,False,True,582,1
15,False,True,2204615,1
12,False,True,253,1
81,False,False,34,1
665,True,True,3114,1
22,False,False,2,1
161,False,True,191,1
153,True,False,5,1
13,False,True,1773202,1
15,False,True,1378990,1
54,False,True,1329813,1
498,False,True,115,1
72,True,True,46490,1
13,True,True,7,1
13,True,True,248,1
10,False,True,255637,1
21,True,True,221757,1
71,False,False,11837,1
22,False,True,282739,1
15,False,True,7,1
60,True,True,1373558,1
37,False,True,367103,1
145,True,True,68854,1
17,True,True,43,1
15,True,False,19671,1
864,False,False,358,1
269,True,False,79,1
10,False,True,681910,1
58,False,True,2,1
167,False,False,956,1
350,True,True,215511,1
56,False,True,693521,1
255,False,True,4,1
86,True,False,15,1
113,False,False,137,1
30,True,False,340925,1
134,False,False,42,1
28,False,True,894205,1
19,False,True,1144521,1
14,True,True,1,1
80,False,False,213004,1
27,False,True,13,1
86,False,True,1071219,1
31,False,True,51258,1
14,False,True,404568,1
75,False,False,409656,1
363,True,True,7,1
224,True,True,345995,1
63,False,True,6,1
106,True,False,318609,1
43,True,True,57,1
86,True,True,8,1
71,True,True,1464554,1
30,False,False,3,1
61,False,True,104,1
24,True,False,410976,1
32,True,False,34535,1
42,False,True,174530,1
68,False,True,20171,1
60,False,False,30,1
25,False,False,13,1
0,False,True,1571462,1
27,False,True,87,1
26,False,True,99,1
3,True,False,6,1
120,True,True,100242,1
72,False,True,6829,1
6,False,True,10,1
16,False,True,2,1
76,True,True,8,1
9,False,True,4,1
33,False,False,8,1
123,False,True,5,1
19,False,True,3,1
8,False,True,3,1
12,False,True,1014247,1
25,False,True,2,1
5,False,True,1,1
50,True,True,249577,1
0,False,True,701459,1
121,False,False,105,1
55,False,True,30,1
144,False,False,11,1
58,False,True,2,1
50,True,False,102,1
290,False,True,172404,1
44,False,True,2,1
49,False,True,702691,1
60,False,True,1653,1
31,False,True,364089,1
30,False,False,113335,1
26,False,True,1023,1
41,True,True,68,1
111,False,True,677887,1
6,False,True,684073,1
410,True,True,14,1
19,True,True,49356,1
19,True,True,159481,1
27,False,True,3,1
50,False,True,232,1
108,False,True,35861,1
93,False,True,26,1
33,False,True,10,1
64,False,True,1,1
51,False,False,0,1
139,False,False,351779,1
58,False,True,1619593,1
117,False,False,133,1
89,False,True,5,1
53,True,True,73,1
15,True,False,503,1
368,True,False,306,1
63,False,True,14,1
85,True,True,4,1
55,True,True,2,1
19,True,False,13,1
204,False,True,27,1
13,False,True,13,1
20,False,True,1047464,1
12,False,False,55777,1
342,False,True,145204,1
63,True,True,1366,1
46,False,True,325399,1
385,True,True,97,1
25,False,True,95,1
3,True,True,1376,1
168,False,True,695058,1
174,False,True,194,1
29,False,True,662044,1
30,False,True,324,1
11,False,True,5,1
47,False,True,597263,1
213,True,False,369,1
105,False,True,17,1
22,False,True,3,1
150,False,True,6,1
14,False,True,210515,1
24,False,True,405645,1
38,True,False,1,1
96,False,False,3,1
28,True,True,297833,1
88,False,True,196,1
38,False,False,170831,1
19,False,True,2,1
33,True,True,7,1
13,False,True,10,1
36,False,False,924749,1
47,True,True,3,1
40,False,False,26,1
155,False,True,20,1
53,True,True,470768,1
22,False,True,1188904,1
37,True,False,4,1
175,True,False,161227,1
11,False,True,2,1
94,False,True,5,1
33,False,True,3,1
27,False,True,1145617,1
60,False,True,5,1
132,False,False,629,1
21,False,True,803434,1
33,False,True,55,1
238,True,True,2,1
64,False,True,25,1
169,True,False,403,1
0,False,True,21,1
76,True,False,186,1
7,False,True,897702,1
35,True,False,429155,1
0,False,True,412492,1
19,True,False,4961,1
27,False,False,4,1
9,False,True,6,1
36,False,True,98,1
14,True,False,1,1
147,True,True,7,1
102,True,True,15,1
40,True,True,307,1
16,False,True,9,1
320,True,True,8,1
5,False,True,277931,1
75,False,True,667,1
32,False,False,6,1
7,False,True,19,1
55,False,True,16,1
134,True,True,2,1
98,False,True,1201810,1
210,True,True,593080,1
25,False,True,1542545,1
70,True,True,33055,1
86,False,True,1325,1
181,False,False,592,1
7,False,True,6,1
42,False,True,7,1
16,True,True,476661,1
32,True,False,2,1
58,True,True,4,1
14,False,False,9,1
40,False,True,6,1
0,False,True,51,1
27,False,True,1550,1
21,False,False,339539,1
81,True,True,1431485,1
437,False,False,267,1
87,False,True,436120,1
118,True,False,4,1
167,False,False,2683,1
22,False,True,22,1
7,True,True,52,1
82,False,True,81136,1
6,True,False,202,1
80,False,True,1193020,1
78,True,True,471,1
212,True,True,15,1
44,False,False,17272,1
18,False,True,7,1
49,False,True,17,1
8,True,False,1409520,1
215,False,False,19,1
177,False,True,22,1
68,False,True,251,1
176,False,True,21,1
59,False,True,1130794,1
134,True,True,3,1
65,False,True,43292,1
173,False,True,63203,1
21,True,True,11,1
276,True,True,575516,1
24,True,True,31,1
222,False,True,35,1
71,False,False,2,1
5,False,True,5,1
34,True,True,4,1
9,True,False,391615,1
56,True,False,3,1
76,False,True,44,1
19,False,True,1086950,1
16,False,True,379713,1
243,True,True,4277,1
60,True,True,9,1
114,False,False,2,1
114,False,True,87,1
99,False,True,407727,1
5,False,True,2613429,1
129,True,False,69,1
57,False,True,1044388,1
43,False,True,15,1
10,True,True,2208934,1
74,False,True,149625,1
4,True,True,1,1
30,False,True,415409,1
35,True,True,323039,1
18,True,True,337,1
60,False,True,1130835,1
26,False,True,335066,1
28,False,True,7549,1
2,False,True,10,1
19,False,False,1,1
64,True,False,118241,1
34,True,True,4702,1
141,False,True,8,1
84,False,True,968942,1
25,True,True,21,1
180,True,True,2368679,1
50,False,True,6,1
190,False,False,54,1
31,False,True,122,1
571,False,False,153,1
69,True,True,18,1
31,False,True,361751,1
78,False,True,1,1
23,True,True,1055931,1
8,False,True,2050318,1
377,True,True,366523,1
269,False,True,60,1
18,False,True,124,1
17,False,True,707219,1
146,False,True,8,1
2,False,True,234618,1
141,False,True,1733192,1
48,True,False,4,1
32,False,False,198,1
112,False,True,789782,1
88,True,True,1185,1
51,False,True,14,1
28,False,True,401,1
10,False,True,28556,1
85,True,False,55,1
32,False,False,2,1
5,False,True,65927,1
36,True,True,2,1
51,False,True,11,1
1,False,True,3,1
29,False,True,1425199,1
16,True,False,14606,1
35,True,True,5456,1
8,False,True,571477,1
28,True,True,610098,1
79,False,True,2067930,1
145,True,True,965,1
38,False,True,800,1
75,False,True,45,1
21,False,True,11,1
148,True,True,2,1
17,False,True,4,1
118,False,False,7,1
172,False,False,129818,1
9,False,True,1028378,1
145,False,True,211186,1
18,False,True,976064,1
34,True,True,81892,1
304,True,False,35,1
0,False,True,238,1
15,False,True,27,1
67,False,True,684536,1
120,False,False,7,1
105,True,True,16,1
1,False,True,4,1
65,False,True,11,1
9,False,True,1818073,1
18,False,True,1766638,1
127,False,False,6,1
13,True,True,552739,1
220,True,True,3233,1
39,False,True,74553,1
34,False,True,3,1
46,False,False,11,1
74,False,True,208369,1
102,False,True,260,1
22,False,True,192,1
111,False,True,28,1
273,True,True,325,1
68,True,False,22,1
375,False,False,23,1
0,False,True,5,1
11,False,True,11,1
21,False,True,97472,1
86,True,True,4,1
83,False,True,28685,1
90,True,True,489,1
28,False,True,17,1
385,True,True,1101179,1
16,True,True,1,1
35,False,True,1082303,1
10,True,False,113,1
16,True,True,972184,1
19,False,True,308129,1
111,True,True,1960958,1
82,False,True,894344,1
341,True,False,123,1
83,True,False,98183,1
6,False,True,30,1
0,False,False,342035,1
