Words,Links,Code,ResponseTime,Type
16,False,True,35,0
17,False,True,1,0
10,False,True,2,0
75,True,True,556,0
17,False,True,746,0
42,True,True,426,0
100,False,True,741,0
51,False,False,696,0
58,False,True,8,0
30,False,True,854,0
49,True,True,687,0
98,False,True,22,0
46,True,True,12,0
65,True,True,13,0
26,True,False,50,0
51,False,False,31,0
44,True,True,38,0
140,True,True,38,0
43,True,True,8,0
46,False,True,13,0
68,False,True,43,0
28,False,True,4,0
130,True,False,3,0
9,False,True,1,0
251,False,False,496,0
69,True,True,86,0
144,False,False,54,0
135,False,True,55,0
22,False,True,970,0
58,False,True,92,0
128,True,True,90,0
14,False,True,551,0
64,False,False,1000,0
105,False,False,6,0
41,False,False,44,0
14,True,False,4,0
31,False,False,10,0
18,False,True,33,0
91,False,True,17,0
56,True,False,18,0
36,False,True,38,0
97,False,False,48,0
84,True,True,869,0
22,False,False,6,0
92,False,False,10,0
69,False,False,4,0
253,True,False,15,0
39,False,False,9,0
8,False,False,10,0
124,False,False,12,0
32,False,True,132,0
66,False,False,3,0
95,False,False,8,0
54,True,True,22,0
103,False,False,13,0
70,False,True,33,0
69,False,False,25,0
63,False,False,46,0
94,False,False,50,0
99,False,False,273,0
71,False,False,9,0
24,True,False,15,0
7,True,False,17,0
121,True,True,19,0
42,False,False,27,0
66,False,True,205,0
51,False,False,145,0
6,True,False,36,0
225,False,False,160,0
22,True,False,91,0
237,True,False,164,0
53,True,False,1106,0
63,False,False,51,0
38,True,True,8,0
28,False,True,6,0
117,False,False,133,0
35,False,False,24,0
17,True,False,162,0
47,False,True,177,0
88,False,False,193,0
180,False,False,55,0
171,False,False,8,0
120,False,True,54,0
32,False,False,198,0
29,True,True,81,0
58,True,True,38,0
72,False,True,41,0
86,False,True,1325,0
82,False,True,4,0
26,True,False,10,0
42,False,False,222,0
73,True,False,9,0
12,False,False,5,0
64,True,False,6,0
11,True,False,8,0
27,False,True,18,0
44,True,False,13,0
9,True,False,50,0
6,False,True,90,0
30,True,True,32,0
41,False,False,234,0
120,False,True,10,0
62,False,True,14,0
165,False,False,27,0
10,False,True,73,0
20,False,True,137,0
13,True,False,98,0
57,False,False,142,0
22,True,False,50,0
56,False,False,160,0
28,False,False,10,0
42,True,False,12,0
40,False,False,368,0
31,False,True,2,0
29,True,True,6,0
32,False,False,393,0
44,False,True,34,0
37,False,True,615,0
105,True,False,147,0
46,False,False,3,0
18,True,False,2,0
70,True,True,13,0
132,True,False,8,0
44,True,False,34,0
13,True,False,7,0
112,True,False,14,0
101,True,True,25,0
70,True,False,296,0
92,False,True,57,0
48,True,True,1004,0
15,False,True,137,0
46,True,False,252,0
35,False,True,1764,0
36,True,False,475,0
65,False,False,414,0
125,True,False,270,0
126,False,True,50,0
39,True,False,356,0
133,False,True,58,0
106,True,True,1052,0
21,False,True,627,0
103,False,False,12,0
143,True,False,21,0
165,False,True,0,0
138,False,True,162,0
68,True,False,22,0
34,True,False,24,0
170,True,True,122,0
78,False,False,1244,0
71,False,False,9,0
175,True,False,1023,0
46,False,True,1343,0
7,False,False,1208,0
286,True,False,113,0
88,False,False,1024,0
128,True,False,3,0
10,True,True,3,0
61,True,False,326,0
36,True,False,2027,0
60,True,False,705,0
112,False,False,21,0
60,True,False,457,0
177,True,False,193,0
57,False,False,511,0
33,False,True,105,0
111,True,True,68,0
188,True,False,554,0
235,True,True,1380,0
38,False,True,151,0
25,True,False,23,0
146,True,False,1401,0
95,False,True,1640,0
42,True,False,868,0
56,False,False,1413,0
35,False,False,1132,0
218,True,True,2221,0
40,False,False,1141,0
13,True,False,107,0
93,False,True,1162,0
35,True,False,13,0
182,True,False,1461,0
48,False,False,1617,0
44,True,False,22,0
34,True,False,634,0
440,True,False,48,0
101,True,True,8,0
163,True,True,17,0
62,False,False,881,0
257,False,False,114,0
32,False,True,109,0
80,True,False,9,0
101,False,False,20,0
108,False,True,943,0
161,False,True,150,0
54,False,False,51,0
303,False,False,66,0
188,False,False,2,0
61,False,False,127,0
74,False,False,1040,0
81,False,False,1876,0
23,True,False,776,0
28,True,True,12,0
40,True,False,1679,0
25,True,False,20,0
90,False,True,1622,0
199,False,True,285,0
41,True,True,183,0
42,True,False,1519,0
22,True,False,1783,0
74,True,False,715,0
53,True,False,18,0
210,False,False,1222,0
250,True,False,47,0
251,True,False,466,0
176,False,False,1739,0
35,False,False,989,0
22,False,False,97,0
153,True,True,28,0
144,True,False,1045,0
66,False,False,151,0
63,True,False,2225,0
256,True,False,58,0
274,False,False,65,0
44,False,False,2360,0
63,True,True,2891,0
159,False,False,2073,0
110,False,False,206,0
137,True,False,117,0
26,False,False,1777,0
270,False,True,2963,0
10,False,True,2664,0
34,True,False,7,0
161,True,True,71,0
17,False,False,10,0
187,False,False,15,0
57,True,False,35,0
37,True,False,7,0
22,True,False,15,0
56,False,False,35,0
19,True,False,3,0
70,True,True,5,0
49,True,False,40,0
80,False,True,13,0
123,False,True,520,0
101,False,False,242,0
30,True,False,52,0
36,False,False,10,0
234,True,True,148,0
43,False,True,67,0
98,False,False,17,0
35,False,False,93,0
24,True,True,160,0
11,False,True,2,0
8,True,True,8,0
60,False,True,174,0
42,False,True,21,0
27,False,True,2,0
143,True,True,30,0
35,True,True,6,0
25,True,False,134,0
58,False,False,845,0
7,False,True,1,0
90,True,False,7,0
81,False,False,104,0
67,False,True,2852,0
5,True,True,48,0
42,True,True,138,0
122,True,False,12,0
50,True,True,48,0
84,True,False,22,0
80,False,True,12,0
55,False,False,453,0
52,False,True,786,0
157,False,True,1291,0
57,False,False,187,0
73,False,False,4008,0
35,False,True,282,0
34,False,True,274,0
72,True,True,142,0
231,False,False,30,0
114,False,False,43,0
52,False,False,45,0
59,False,False,48,0
79,False,False,52,0
104,False,True,4077,0
59,True,False,10,0
35,False,False,58,0
117,True,True,13,0
197,False,False,42,0
67,False,False,16,0
47,False,False,447,0
48,False,True,8,0
20,True,False,7,0
118,False,True,27,0
55,True,False,2725,0
87,True,False,9,0
35,True,False,12,0
21,True,False,9,0
52,True,False,11,0
35,True,False,476,0
110,False,False,2776,0
86,True,False,119,0
13,True,False,5,0
823,False,False,7,0
230,False,False,9,0
65,True,True,461,0
12,False,False,0,0
73,False,True,0,0
196,False,True,117,0
74,True,True,15,0
152,False,False,29,0
76,False,True,16,0
20,True,False,2,0
69,True,True,10,0
4,False,True,13,0
197,False,False,59,0
41,True,False,221,0
64,False,False,3150,0
100,False,False,66,0
39,True,False,73,0
28,True,False,2,0
375,True,False,5,0
236,False,True,14,0
89,True,False,13,0
143,True,False,3177,0
207,True,False,105,0
11,False,True,7,0
21,True,False,7,0
429,True,False,26,0
9,True,False,2,0
462,False,False,3495,0
39,False,False,3038,0
4,False,True,2,0
53,False,True,6,0
105,True,False,3418,0
14,False,True,19,0
100,True,True,55,0
192,True,False,14,0
122,False,False,43,0
10,True,False,72,0
